"","Age","Sex","Job","Housing","Saving.accounts","Checking.account","Credit.amount","Duration","Purpose","Risk"
"1",67,"1","2","3","1","1",1169,6,"2","0"
"2",22,"2","2","3","1","2",5951,48,"2","1"
"3",49,"1","1","3","1","1",2096,12,"7","0"
"4",45,"1","2","1","1","1",7882,42,"4","0"
"5",53,"1","2","1","1","1",4870,24,"6","1"
"6",35,"1","1","1","1","1",9055,36,"7","0"
"7",53,"1","2","3","3","2",2835,24,"4","0"
"8",35,"1","3","2","1","2",6948,36,"6","0"
"9",61,"1","1","3","4","2",3059,12,"2","0"
"10",28,"1","3","3","1","2",5234,30,"6","1"
"11",25,"2","2","2","1","2",1295,12,"6","1"
"12",24,"2","2","2","1","1",4308,48,"8","1"
"13",22,"2","2","3","1","2",1567,12,"2","0"
"14",60,"1","1","3","1","1",1199,24,"6","1"
"15",28,"2","2","2","1","1",1403,15,"6","0"
"16",32,"2","1","3","2","1",1282,24,"2","1"
"17",53,"1","2","3","1","1",2424,24,"2","0"
"18",25,"1","2","3","1","1",8072,30,"8","0"
"19",44,"2","3","1","1","2",12579,24,"6","1"
"20",31,"1","2","3","3","2",3430,24,"2","0"
"21",48,"1","2","3","1","1",2134,9,"6","0"
"22",44,"1","2","2","3","1",2647,6,"2","0"
"23",48,"1","1","2","1","1",2241,10,"6","0"
"24",44,"1","2","3","2","2",1804,12,"6","0"
"25",26,"1","2","3","1","1",2069,10,"4","0"
"26",36,"1","1","3","1","1",1374,6,"4","0"
"27",39,"1","1","3","1","2",426,6,"2","0"
"28",42,"2","2","2","4","2",409,12,"2","0"
"29",34,"1","2","3","1","2",2415,7,"2","0"
"30",63,"1","2","3","1","1",6836,60,"8","1"
"31",36,"1","2","3","4","2",1913,18,"8","0"
"32",27,"1","2","3","1","1",4020,24,"4","0"
"33",30,"1","2","3","2","2",5866,18,"6","0"
"34",57,"1","1","2","1","1",1264,12,"8","0"
"35",33,"2","3","3","1","2",1474,12,"4","0"
"36",25,"1","1","3","1","2",4746,45,"2","1"
"37",31,"1","2","1","1","1",6110,48,"7","0"
"38",37,"1","2","3","1","1",2100,18,"2","1"
"39",37,"1","2","3","1","2",1225,10,"3","0"
"40",24,"1","2","3","1","2",458,9,"2","0"
"41",30,"1","3","3","3","2",2333,30,"2","0"
"42",26,"1","2","3","3","2",1158,12,"2","0"
"43",44,"1","1","3","1","2",6204,18,"5","0"
"44",24,"1","2","2","2","1",6187,30,"6","0"
"45",58,"2","1","1","1","1",6143,48,"6","1"
"46",35,"2","3","3","1","1",1393,11,"6","0"
"47",39,"1","2","3","3","2",2299,36,"2","0"
"48",23,"2","0","2","3","1",1352,6,"6","0"
"49",39,"1","1","3","1","2",7228,11,"6","0"
"50",28,"2","2","3","2","2",2073,12,"2","0"
"51",29,"1","1","3","1","2",2333,24,"4","0"
"52",30,"1","3","3","1","2",5965,27,"6","0"
"53",25,"1","2","3","1","2",1262,12,"2","0"
"54",31,"1","2","3","1","2",3378,18,"6","0"
"55",57,"1","2","1","1","2",2225,36,"6","1"
"56",26,"1","1","3","1","1",783,6,"6","0"
"57",52,"1","3","3","1","2",6468,12,"2","1"
"58",31,"2","2","3","1","1",9566,36,"2","0"
"59",23,"2","3","3","1","2",1961,18,"6","0"
"60",23,"2","1","2","1","1",6229,36,"4","1"
"61",27,"1","2","3","1","2",1391,9,"8","0"
"62",50,"1","2","3","1","2",1537,15,"2","0"
"63",61,"1","3","1","1","2",1953,36,"8","1"
"64",25,"1","2","3","1","2",14421,48,"8","1"
"65",26,"2","2","3","1","1",3181,24,"2","0"
"66",48,"1","2","3","4","2",5190,27,"5","0"
"67",29,"2","2","3","1","1",2171,12,"2","0"
"68",22,"1","2","3","4","2",1007,12,"6","0"
"69",37,"1","2","1","1","2",1819,36,"7","1"
"70",25,"2","2","3","1","1",2394,36,"2","0"
"71",30,"2","2","3","1","1",8133,36,"6","0"
"72",46,"1","1","2","1","2",730,7,"2","0"
"73",51,"1","3","1","1","1",1164,8,"1","0"
"74",41,"2","1","3","1","2",5954,42,"8","0"
"75",40,"1","3","3","1","1",1977,36,"7","1"
"76",66,"1","3","1","1","1",1526,12,"6","0"
"77",34,"1","2","3","1","1",3965,42,"2","1"
"78",51,"1","2","3","1","2",4771,11,"2","0"
"79",39,"1","1","3","4","1",9436,54,"6","0"
"80",22,"1","2","3","1","2",3832,30,"4","0"
"81",44,"2","2","3","1","2",5943,24,"2","1"
"82",47,"1","2","3","3","2",1213,15,"2","0"
"83",24,"2","1","2","2","2",1568,18,"8","0"
"84",58,"2","1","3","1","1",1755,24,"1","0"
"85",52,"1","1","3","1","1",2315,10,"2","0"
"86",29,"2","3","3","1","2",1412,12,"8","0"
"87",27,"2","2","3","1","2",1295,18,"4","0"
"88",47,"1","2","1","2","2",12612,36,"7","1"
"89",30,"1","3","3","2","1",2249,18,"6","0"
"90",28,"1","2","3","1","1",1108,12,"5","1"
"91",56,"1","2","3","1","2",618,12,"2","0"
"92",54,"1","2","3","1","1",1409,12,"6","0"
"93",33,"2","1","3","1","2",797,12,"2","1"
"94",20,"1","2","2","1","1",3617,24,"4","0"
"95",54,"1","2","3","4","2",1318,12,"6","0"
